year,month,period,rate
2018,4,20,0.0282
2018,4,21,0.0285
2018,4,22,0.0288
2018,4,23,0.029
2018,4,24,0.0292
2018,4,25,0.0294
2018,5,1,0.0082
2018,5,2,0.0118
2018,5,3,0.0142
2018,5,4,0.0159
2018,5,5,0.0173
2018,5,6,0.0186
2018,5,7,0.01965
2018,5,8,0.0207
2018,5,9,0.0216
2018,5,10,0.0225
2018,5,11,0.0232
2018,5,12,0.0239
2018,5,13,0.0246
2018,5,14,0.0252
2018,5,15,0.0257
2018,5,16,0.0262
2018,5,17,0.0266
2018,5,18,0.027
2018,5,19,0.0273
2018,5,20,0.0276
2018,5,21,0.0279
2018,5,22,0.0282
2018,5,23,0.0284
2018,5,24,0.0286
2018,5,25,0.0288
2018,6,1,0.0067
2018,6,2,0.0113
2018,6,3,0.0139
2018,6,4,0.0156
2018,6,5,0.0169
2018,6,6,0.0181
2018,6,7,0.0192
2018,6,8,0.0202
2018,6,9,0.0211
2018,6,10,0.0219
2018,6,11,0.0227
2018,6,12,0.0234
2018,6,13,0.024
2018,6,14,0.0246
2018,6,15,0.0252
2018,6,16,0.0257
2018,6,17,0.0261
2018,6,18,0.0265
2018,6,19,0.0269
2018,6,20,0.0272
2018,6,21,0.0275
2018,6,22,0.0278
2018,6,23,0.028
2018,6,24,0.0283
2018,6,25,0.0284
2018,7,1,0.0108
2018,7,2,0.0108
2018,7,3,0.0136
2018,7,4,0.0153
2018,7,5,0.0167
2018,7,6,0.0178
2018,7,7,0.0189
2018,7,8,0.0199
2018,7,9,0.0208
2018,7,10,0.0216
2018,7,11,0.0224
2018,7,12,0.0231
2018,7,13,0.0238
2018,7,14,0.0244
2018,7,15,0.025
2018,7,16,0.0255
2018,7,17,0.026
2018,7,18,0.0264
2018,7,19,0.0268
2018,7,20,0.0272
2018,7,21,0.0275
2018,7,22,0.0278
2018,7,23,0.028
2018,7,24,0.0282
2018,7,25,0.0284
2018,8,1,0.005
2018,8,2,0.0102
2018,8,3,0.0129
2018,8,4,0.0146
2018,8,5,0.0159
2018,8,6,0.0171
2018,8,7,0.0182
2018,8,8,0.0192
2018,8,9,0.0201
2018,8,10,0.0209
2018,8,11,0.0217
2018,8,12,0.0225
2018,8,13,0.0232
2018,8,14,0.0238
2018,8,15,0.0244
2018,8,16,0.025
2018,8,17,0.0255
2018,8,18,0.026
2018,8,19,0.0264
2018,8,20,0.0267
2018,8,21,0.0271
2018,8,22,0.0274
2018,8,23,0.0277
2018,8,24,0.0279
2018,8,25,0.0281
2018,9,1,0.0047
2018,9,2,0.0101
2018,9,3,0.0127
2018,9,4,0.0144
2018,9,5,0.0157
2018,9,6,0.0169
2018,9,7,0.018
2018,9,8,0.019
2018,9,9,0.0199
2018,9,10,0.0208
2018,9,11,0.0216
2018,9,12,0.0223
2018,9,13,0.023
2018,9,14,0.0237
2018,9,15,0.0243
2018,9,16,0.0248
2018,9,17,0.0253
2018,9,18,0.0258
2018,9,19,0.0262
2018,9,20,0.0266
2018,9,21,0.0269
2018,9,22,0.0272
2018,9,23,0.0275
2018,9,24,0.0277
2018,9,25,0.028
2018,10,1,0.0052
2018,10,2,0.0108
2018,10,3,0.0132
2018,10,4,0.0148
2018,10,5,0.016
2018,10,6,0.0172
2018,10,7,0.0182
2018,10,8,0.0191
2018,10,9,0.02
2018,10,10,0.0209
2018,10,11,0.0217
2018,10,12,0.0224
2018,10,13,0.0231
2018,10,14,0.0237
2018,10,15,0.0243
2018,10,16,0.0248
2018,10,17,0.0253
2018,10,18,0.0258
2018,10,19,0.0262
2018,10,20,0.0265
2018,10,21,0.0269
2018,10,22,0.0272
2018,10,23,0.0274
2018,10,24,0.0277
2018,10,25,0.0279
2018,11,1,0.0079
2018,11,2,0.0128
2018,11,3,0.0147
2018,11,4,0.0159
2018,11,5,0.0169
2018,11,6,0.018
2018,11,7,0.0189
2018,11,8,0.0199
2018,11,9,0.0207
2018,11,10,0.0215
2018,11,11,0.0223
2018,11,12,0.023
2018,11,13,0.0236
2018,11,14,0.0242
2018,11,15,0.0247
2018,11,16,0.0252
2018,11,17,0.0256
2018,11,18,0.026
2018,11,19,0.0263
2018,11,20,0.0266
2018,11,21,0.0269
2018,11,22,0.0272
2018,11,23,0.0274
2018,11,24,0.0276
2018,11,25,0.0278
2018,12,1,0.0111
2018,12,2,0.0147
2018,12,3,0.0159
2018,12,4,0.0167
2018,12,5,0.0175
2018,12,6,0.0184
2018,12,7,0.0193
2018,12,8,0.0202
2018,12,9,0.021
2018,12,10,0.0217
2018,12,11,0.0224
2018,12,12,0.023
2018,12,13,0.0236
2018,12,14,0.0241
2018,12,15,0.0246
2018,12,16,0.025
2018,12,17,0.0254
2018,12,18,0.0257
2018,12,19,0.026
2018,12,20,0.0263
2018,12,21,0.0266
2018,12,22,0.0268
2018,12,23,0.027
2018,12,24,0.0271
2018,12,25,0.0273
2019,1,1,0.0136
2019,1,2,0.0158
2019,1,3,0.0165
2019,1,4,0.017
2019,1,5,0.0176
2019,1,6,0.0184
2019,1,7,0.0192
2019,1,8,0.02
2019,1,9,0.0207
2019,1,10,0.0214
2019,1,11,0.022
2019,1,12,0.0226
2019,1,13,0.0231
2019,1,14,0.0236
2019,1,15,0.024
2019,1,16,0.0243
2019,1,17,0.0246
2019,1,18,0.0249
2019,1,19,0.0252
2019,1,20,0.0254
2019,1,21,0.0256
2019,1,22,0.0258
